Seq   key   Reference   Name                        Simbad_Identifier                  Sci_key  C_key    Loc   type  RA             DEC            vel     vel_bibcode         U_mag   B_mag   V_mag   R_mag   I_mag   J_mag   H_mag   K_mag   Teff   logg   Z     vturb   Li    Be    C    N    O    F    Na   Mg   Al   Si   P    S    K    Ca    Sc    Ti    V     Cr    Mn    Fe    Co    Ni    Cu    Zn   Ga    Ge    As    Se    Rb   Sr    Y     Zr    Nb    Mo    Ru    Rh    Pd    Ag    Cd    Sn   Te    Ba    La    Ce    Pr    Nd    Sm    Eu    Gd    Tb    Dy    Ho    Er    Tm    Yb    Lu    Hf    W     Os    Ir    Pt    Au    Hg   Pb    Bi    Th    U     CaII   TiII   VII   CrII   MnII   FeII  
742   2     ROE14a      CS30492-001                 2MASS_J21055523-4210101            R1       *        *     SG    21_5_55.234    -42_10_10.11   -132    1992AJ....103.1987B 16.268  13.94   14.2    12.8    *       12.476  12.154  12.159  5790   3.65   -2.35 0.85    2.02  *     6.03 6.6  6.72 *    3.47 5.45 2.96 5.24 *    *    *    4.16  0.92  2.71  1.86  2.81  2.52  4.88  2.39  3.67  *     2.16 *     *     *     *     2.73 0.49  -0.57 0.3   1.41  1.09  *     *     *     *     *     *    *     -0.62 *     -0.02 -0.25 -0.06 0.03  -1.26 0.25  *     -0.38 *     -0.25 -0.53 -1.12 *     0.73  *     *     *     *     *     *    1.71  *     -0.33 *     *      2.89   1.86  3.49   2.61   5.15  
743   1     ROE14b      CS30492-001                 2MASS_J21055523-4210101            R1       *        *     SG    21_5_55.234    -42_10_10.11   -132    1992AJ....103.1987B 16.268  13.94   14.2    12.8    *       12.476  12.154  12.159  5790   3.65   -2.35 0.85    2.02  *     6.03 6.6  6.72 *    3.47 5.45 2.96 5.24 *    *    *    4.16  0.92  2.71  1.86  2.81  2.52  4.88  2.39  3.67  *     2.16 *     *     *     *     2.73 0.49  -0.57 0.3   1.41  1.09  *     *     *     *     *     *    *     -0.62 *     -0.02 -0.25 -0.06 0.03  -1.26 0.25  *     -0.38 *     -0.25 -0.53 -1.12 *     0.73  *     *     *     *     *     *    1.71  *     -0.33 *     *      2.89   1.86  3.49   2.61   5.15  
744   1     AOK05       CS30319-020                 2MASS_J21193930-2652395            *        *        *     RG    21_19_39.31    -26_52_39.58   *       *                   *       13.59   12.83   12.137  11.72   11.127  10.671  10.569  5200   2.5    -2.5  1.7     *     *     6.4  *    *    *    *    5.6  3.48 5.66 *    *    *    4.18  0.91  2.83  *     3     2.48  5.15  2.9   3.79  *     2.3  *     *     *     *     *    0.51  -0.42 0.27  *     *     *     *     *     *     *     *    *     -0.9  *     *     *     *     *     -1.76 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
745   1     ROE14b      CS30492-110                 2MASS_J21214583-3808579            *        *        *     RG    21_21_45.833   -38_8_57.94    44      1992AJ....103.1987B *       15.38   14.63   13.7    *       12.85   12.34   12.26   4660   1.05   -3.16 1.8     0.38  *     5.28 5.3  6.43 *    *    4.86 2.69 *    *    *    2.08 3.52  -0.11 1.91  0.35  2.05  1.57  4.23  1.76  3.03  *     1.46 *     *     *     *     1.62 -0.38 -1.63 -0.61 -0.06 -0.16 *     *     *     *     *     1.16 *     -1.52 -2.2  -1.66 -1.7  -1.65 -1.85 -2.47 -1.06 -2.04 -1.99 *     -1.98 -2.25 -2.36 *     -0.9  *     *     *     *     *     *    0     *     -1.96 *     *      1.98   0.71  *      1.69   4.34  
746   1     HOL11       HE2123-0329                 2MASS_J21260896-0316587            R1       *        *     RG    21_26_8.96     -3_16_58.8     -219.4  2011ApJ...742...54H *       14.6    *       13      *       11.575  11.125  11.001  4725   1.15   -3.22 1.8     0.58  *     5.61 *    *    *    *    4.96 2.66 4.85 *    *    *    3.57  -0.08 2.02  *     2.21  1.92  4.28  2.01  3.05  *     1.8  *     *     *     *     *    -0.58 -1.34 -0.55 *     *     *     *     *     *     *     *    *     -1.89 -1.72 *     *     *     *     -2.12 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      2      *     2.71   *      *     
747   2     AOK07a      CS30322-023                 2MASS_J21303218-4616247            *        *        *     RG    21_30_32.184   -46_16_24.72   118.72  2013AJ....146..134K *       13.473  12.166  11.498  10.908  10.05   9.479   9.313   4300   1      -3.3  3.3     *     *     5.7  7    *    *    3.96 4.82 *    *    *    *    *    3.36  0.08  2     *     2.04  *     4.2   *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     -0.49 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
748   1     MAS06       CS30322-023                 2MASS_J21303218-4616247            *        *        *     RG    21_30_32.184   -46_16_24.72   118.72  2013AJ....146..134K *       13.473  12.166  11.498  10.908  10.05   9.479   9.313   4100   -0.3   -3.5  2.2     *     *     5.6  7.2  5.9  *    4.07 4.94 3.7  4.7  *    *    *    3.37  -0.12 1.72  0.4   1.66  1.66  4.06  1.33  2.56  *     1.23 *     *     *     *     *    -1    -1.56 -0.68 *     -0.5  -2    *     *     *     *     *    *     -0.7  -1.8  -1.22 -2.5  -1.34 -2.3  -3.4  -2.3  -3.2  -2.4  *     -2.56 -3.5  -2.1  *     -2    *     *     *     *     *     *    0.1   *     *     *     *      *      *     *      *      *     
749   2     MAS12       CS30322-023                 2MASS_J21303218-4616247            *        *        *     RG    21_30_32.184   -46_16_24.72   118.72  2013AJ....146..134K *       13.473  12.166  11.498  10.908  10.05   9.479   9.313   4100   -0.3   -3.33 2.2     -0.3  *     5.6  7.2  *    *    4.1  4.94 *    *    *    *    *    *     *     *     *     *     *     4.12  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     -0.7  *     *     *     *     *     -3.5  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
750   1     PRE06       CS22948-006                 2MASS_J21331768-3939428            *        *        *     HB    21_33_17.69    -39_39_42.8    73      1992AJ....103.1987B *       15.56   15.07   14.7    *       13.774  13.405  13.334  5550   1.95   -2.5  2.1     *     *     6.3  *    *    *    4.1  5.29 2.97 5.31 *    *    *    4.33  0.59  2.61  *     2.86  1.98  4.88  2.44  *     *     *    *     *     *     *     *    0.03  *     *     *     *     *     *     *     *     *     *    *     -1.12 -1.45 *     *     *     *     -2.21 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
751   1     BAR05       HE2133-1432                 2MASS_J21362253-1419203            *        *        *     SG    21_36_22.538   -14_19_20.33   -129    2005A&A...439..129B *       15.86   15.348  14.998  14.604  14.113  13.765  13.739  5716   3.46   -2.02 1.46    *     *     6.49 *    *    *    *    5.9  3.67 *    *    *    *    4.72  1.21  3.27  *     3.59  2.89  5.48  2.89  4.03  *     *    *     *     *     *     *    1.06  0.12  1.1   *     *     *     *     *     *     *     *    *     0.06  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
752   2     REN12       HE2133-1432                 2MASS_J21362253-1419203            *        *        *     SG    21_36_22.538   -14_19_20.33   -129    2005A&A...439..129B *       15.86   15.348  14.998  14.604  14.113  13.765  13.739  5716   3.46   -2.02 1.46    *     *     6.65 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.48  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     -0.82 *     *      *      *     *      *      *     
753   2     AND09       CS29495-041                 2MASS_J21363327-2818485            *        *        *     RG    21_36_33.278   -28_18_48.58   77      1992AJ....103.1987B 14.111  14.15   13.34   12.7    12.222  11.607  11.116  11.024  4800   1.5    -2.82 1.8     *     *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     4.68  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     -1.34 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
754   2     AND10       CS29495-041                 2MASS_J21363327-2818485            *        *        *     RG    21_36_33.278   -28_18_48.58   77      1992AJ....103.1987B 14.111  14.15   13.34   12.7    12.222  11.607  11.116  11.024  4800   1.5    -2.82 1.8     *     *     *    *    *    *    *    5.23 *    *    *    *    2.91 *     *     *     *     *     *     4.68  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
755   1     CAY04       CS29495-041                 2MASS_J21363327-2818485            *        *        *     RG    21_36_33.278   -28_18_48.58   77      1992AJ....103.1987B 14.111  14.15   13.34   12.7    12.222  11.607  11.116  11.024  4800   1.5    -2.8  1.8     0.38  *     5.63 5.5  6.6  *    3.75 5.09 2.99 5.3  *    *    *    3.92  0.46  2.44  *     2.5   2.08  4.69  2.32  3.38  *     1.93 *     *     *     *     *    0     -0.99 -0.26 *     *     *     *     *     *     *     *    *     -1.34 -2.1  -1.24 -2.25 -1.04 -1.81 -2.4  -1.95 *     -1.68 -2.56 -1.85 *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
756   2     SPI12       CS29495-041                 2MASS_J21363327-2818485            *        *        *     RG    21_36_33.278   -28_18_48.58   77      1992AJ....103.1987B 14.111  14.15   13.34   12.7    12.222  11.607  11.116  11.024  4800   1.5    -2.82 1.8     *     *     *    *    *    *    *    *    *    *    *    *    *    4.05  *     *     *     *     *     4.68  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
757   1     BAR05       HE2134+0001                 2MASS_J21370818+0015045            *        *        *     RG    21_37_8.189    0_15_4.59      48      2005A&A...439..129B *       16.3    15.792  15.3    14.923  14.352  13.85   13.809  5257   3      -2.22 1.55    *     *     6.38 *    *    *    *    5.75 3.42 *    *    *    *    4.54  1     3.04  1.78  3.48  2.89  5.28  2.85  3.87  *     *    *     *     *     *     *    0.67  -0.22 0.76  *     *     *     *     *     *     *     *    *     -0.51 *     *     *     *     *     -1.24 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
758   2     REN12       HE2134+0001                 2MASS_J21370818+0015045            *        *        *     RG    21_37_8.189    0_15_4.59      48      2005A&A...439..129B *       16.3    15.792  15.3    14.923  14.352  13.85   13.809  5257   3      -2.22 1.55    *     *     6.53 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.28  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     -1.24 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     -1.36 *     *      *      *     *      *      *     
759   2     AOK02b      CS22948-027                 2MASS_J21374577-3927223            RS       CR       *     RG    21_37_45.774   -39_27_22.31   -77     1992AJ....103.1987B *       13.79   12.66   12.16   11.76   10.979  10.534  10.427  4600   1      -2.57 2.2     1     *     7.95 7.15 *    *    4.44 5.6  *    *    *    *    *    4.32  *     3.07  *     3.32  *     4.93  *     *     *     *    *     *     *     *     *    *     0.47  *     *     *     *     *     *     *     *     *    *     1.41  0.51  1     *     0.62  *     -0.49 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
760   2     AOK07a      CS22948-027                 2MASS_J21374577-3927223            *        CR       *     RG    21_37_45.774   -39_27_22.31   -77     1992AJ....103.1987B *       13.79   12.66   12.16   11.76   10.979  10.534  10.427  5000   1.9    -2.3  2       *     *     8.3  8    *    *    4.88 5.87 *    *    *    *    *    4.67  *     3.37  *     3.31  *     5.24  *     *     *     2.69 *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     2.27  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
761   1     BAB05       CS22948-027                 2MASS_J21374577-3927223            RS       CR       *     RG    21_37_45.774   -39_27_22.31   -77     1992AJ....103.1987B *       13.79   12.66   12.16   11.76   10.979  10.534  10.427  4800   1.8    -2.47 1.5     *     *     8.49 7.21 *    *    4.43 5.42 3.85 *    *    *    *    4.43  *     3.05  *     3.05  *     5.03  *     3.77  *     2.49 *     *     *     *     *    1.35  0.87  *     *     *     *     *     *     *     *     *    *     1.92  1.02  1.31  0.08  1.25  *     -0.08 *     *     0.27  *     *     *     *     *     *     *     *     *     *     *     *    2.2   *     *     *     *      *      *     *      *      *     
